WT_PSC	WT_NC	WT_NC	WT_NC	WT_7d	WT_7d	WT_7d	WT_14d	WT_14d	WT_14d	WT_30d	WT_30d	WT_30d	WT_Het_3D	WT_Het_3D	WT_Het_3D	NF1_B_Het_3D	NF1_C_Het_3D	NF1_A_Het_3D	NF1_A_Hom_3D	NF1_B_Hom_3D	NF1_C_Hom_3D	SC_A	SC_B	SC_D	Fb_A	Fb_B
TDRD7	37	3	10	16	64	49	47	76	42	73	199	112	114	277	215	296	161	168	172	114	210	259	318	245	1697	333	190
TEDC1	55	169	129	319	85	57	40	70	58	40	56	35	45	75	53	72	108	108	133	178	214	155	69	58	140	32	107
TENM3	2535	1046	1340	2057	6560	6277	5259	8978	6185	6181	14319	8366	9838	8155	7003	9439	11574	12569	9179	7861	4876	11479	3821	3398	5215	5067	4597
TENM3-AS1	153	41	71	140	487	496	399	767	541	591	1231	797	847	609	450	651	571	731	626	667	383	658	224	252	464	252	233
TENM4	146	611	724	1518	67	48	38	50	60	45	62	40	82	601	499	263	826	1305	396	313	95	278	3	30	270	95	736
TENT4A	457	824	714	1410	558	472	426	539	357	386	518	297	307	782	785	1188	1454	1198	1209	1025	974	1244	349	450	846	575	690
TFAP2B	1	1197	1925	2371	112	128	168	83	68	91	31	21	20	123	100	240	835	352	157	452	1264	872	1	16	53	0	18
TGFBR1	2090	3298	3103	5494	4936	5476	4699	3563	2737	3186	3560	2244	2158	6784	6060	7709	4670	5393	4000	5397	5404	3819	925	1087	3769	5888	4829
TGFBR2	312	811	548	881	2777	1289	944	1859	1155	1336	3492	1847	2235	3066	2789	3534	2405	3686	3424	2624	2763	1839	5119	2510	2679	5023	2766
TGFBR3	194	2302	1387	880	169	32	49	66	19	23	126	61	71	299	378	386	260	960	1745	1444	849	858	3638	3840	2951	513	232
THAP12	919	1735	1756	3402	1154	1155	996	1124	847	940	1005	676	715	1771	1442	1727	2041	2660	2734	2410	2596	2720	599	840	1364	1012	1359
THBS2	809	7	23	17	1590	1080	676	3961	3640	4106	21182	11693	11142	20264	21365	18960	14184	9284	276	10213	7470	3439	5625	12231	37169	16108	17914
THEM4	114	417	311	791	222	181	169	208	143	156	218	111	115	388	302	305	301	337	414	467	674	393	104	195	281	220	236
THEM6	68	462	390	539	150	167	82	180	133	126	199	72	112	172	139	148	121	138	193	144	155	150	341	382	636	72	87
TIAM1	765	2842	2569	2984	1195	855	683	871	477	542	782	379	459	937	724	937	1626	1501	3062	1303	3769	1853	147	262	1077	823	512
TIFA	55	171	225	377	57	47	59	54	22	29	43	36	31	253	178	231	157	218	197	206	211	150	41	46	158	124	264
TIMP1	265	735	543	812	1874	2260	1444	3365	3264	2869	10274	4752	5883	53561	69910	70249	37980	9951	2931	4558	2205	3594	4261	5931	69725	62264	16682
TJP1	3675	6457	5678	8271	3179	2930	2584	2483	1682	2060	2806	1643	1766	3836	3353	3864	4151	4775	5051	4857	6017	4034	1708	2132	2980	4831	2617
TLE3	632	1585	1356	2100	1380	1022	743	1521	1054	987	2120	1111	1302	1345	1175	1444	1648	1271	1659	1414	1114	1583	1001	938	1371	549	937
TLNRD1	315	1123	669	2984	526	374	368	376	377	295	385	183	194	597	546	822	1183	904	1155	1029	964	922	206	259	1503	275	462
TMCC2	115	307	353	503	118	131	92	127	82	94	129	51	71	105	95	71	120	140	347	521	556	270	74	101	360	48	91
TMEM106C	292	1037	1159	2561	761	753	552	566	460	484	650	411	462	668	508	518	834	610	882	938	1394	967	945	869	896	444	535
TMEM107	87	763	347	1154	98	72	62	71	60	72	121	100	74	460	153	125	135	119	134	181	209	151	230	200	324	59	204
TMEM135	733	1839	1667	2134	813	781	641	818	497	646	859	488	556	1179	961	1080	807	873	1139	1021	1354	1028	861	1326	1084	351	382
TMEM150C	48	314	325	451	52	51	55	40	17	43	31	11	11	101	42	65	116	436	281	98	188	184	22	3	97	14	23
TMEM164	432	1260	1053	1828	794	659	427	634	391	432	663	343	416	873	759	893	951	1156	1188	2122	3005	1352	148	216	863	276	420
TMEM170B	263	1779	1528	2080	627	516	435	422	251	359	443	234	267	186	144	231	246	268	370	1021	1103	372	429	673	587	95	72
TMEM200C	106	304	229	548	160	149	137	134	144	85	119	71	76	266	160	265	673	801	1096	655	948	1039	80	26	77	2	22
TMEM215	23	371	420	137	39	37	21	39	13	19	17	10	9	1	3	2	1	4	23	17	35	35	19	31	6	0	0
TMEM38B	248	449	553	720	221	246	185	259	173	174	285	166	180	278	256	368	329	248	495	1223	1226	437	124	236	853	217	214
TMEM44	146	374	304	492	140	173	130	167	133	104	194	105	75	342	392	355	420	390	393	205	206	427	38	42	160	475	336
TMEM47	1551	378	303	405	1616	1325	972	2057	1381	1669	4650	3034	3357	4790	3343	6868	2834	4553	672	1906	798	1247	872	769	1688	6934	4655
TMEM97	1583	3365	2890	6690	443	383	275	304	176	240	290	163	140	260	201	231	521	608	875	1276	1793	877	315	228	710	104	360
TMOD2	192	1120	1290	1010	845	596	506	691	395	500	1900	1055	1350	1620	1129	1759	951	1112	846	453	994	1171	5739	4355	2364	932	1325
TMSB15A	403	1233	1059	3170	298	194	171	168	75	99	143	68	95	128	89	148	324	184	364	683	1434	520	35	9	67	2	47
TMX4	281	476	440	1182	760	642	596	714	514	581	1036	657	795	2313	2299	2682	2335	2452	1724	1447	1592	1806	1446	1395	2549	1446	1406
TNFSF9	29	176	110	263	19	15	10	12	5	15	34	16	20	127	112	324	327	99	186	68	27	75	0	3	25	144	66
TNNI1	28	273	251	223	17	28	16	13	4	11	8	0	6	18	6	6	12	13	27	11629	7604	57	24	56	2	0	0
TOB1	165	1070	266	842	125	144	94	140	104	89	85	80	87	300	346	444	343	191	298	548	493	149	184	249	1022	298	238
TP53I11	400	1862	1062	2540	652	489	408	403	216	362	355	119	87	403	377	404	645	360	822	1490	1628	1364	3	8	210	3683	396
TRAF1	59	12	16	24	1931	2599	1458	2706	1464	1673	3534	2249	2533	1631	1171	1810	1643	1407	107	365	47	107	69	245	789	118	320
TRAK1	876	1163	955	1655	1245	956	823	1048	738	912	1592	799	921	2088	1605	1846	1867	1629	1813	1548	1561	1539	1062	1529	1846	3199	1861
TRIB2	1216	1236	1402	2267	4231	3735	3142	2900	1974	2553	3101	1692	2007	5728	4576	6297	9732	6286	5827	4183	4973	8938	4946	9866	10134	1678	1598
TRIL	142	2531	2945	5942	505	375	641	425	269	223	385	170	127	1801	1327	1867	9923	2599	3109	3367	2630	9929	29	34	19	2	23
TRIM56	567	765	763	1116	573	455	416	740	505	580	1074	614	693	1118	1008	1537	1038	1381	1334	1210	1120	858	579	621	2076	1538	1114
TRIM66	122	261	268	398	123	90	84	128	127	111	165	99	115	220	217	186	171	147	154	117	146	201	205	192	288	157	65
TRIM9	94	791	969	925	376	403	412	279	257	227	259	165	174	135	166	206	629	246	271	1050	2305	533	82	45	483	12	47
TRMT9B	23	383	707	708	69	66	86	80	42	60	82	51	59	45	32	64	106	136	194	439	1155	233	12	16	613	91	266
TRPM7	2127	2218	2256	3791	1615	1445	1324	1952	1296	1521	3425	2505	2706	4244	3784	4769	4130	4031	4039	2701	3150	3963	1758	2265	4077	3397	2599
TRPV1	140	170	234	361	175	159	132	205	148	151	322	180	318	134	102	181	200	212	465	203	362	325	147	468	329	75	76
TRPV3	14	49	63	85	51	34	23	54	40	25	112	76	139	143	106	167	74	170	66	106	239	66	293	499	119	34	75
TSHZ2	80	485	567	983	95	69	98	207	63	42	266	97	113	1564	1383	1803	2441	488	309	2076	1320	3162	87	3	1550	186	280
TSPAN11	128	433	230	394	365	185	175	263	170	117	443	265	547	863	856	1079	1432	3888	2570	1411	1731	2423	11797	15190	9428	6	246
TSPAN13	501	400	514	849	1058	720	496	519	384	440	410	213	218	123	120	180	95	440	305	676	842	163	755	1076	263	494	921
TSPAN18	85	835	695	1083	149	49	93	46	13	34	12	14	9	494	288	290	389	1027	803	647	791	313	1	3	2	38	184
TTC12	51	143	168	384	97	91	45	90	53	62	105	54	79	148	129	105	131	170	160	181	239	179	130	118	211	79	28
TTC21B	746	1367	1344	2702	668	658	604	678	509	508	672	480	497	942	919	1093	1121	1348	2063	1519	1735	1847	1484	1937	1768	673	696
TTC28	484	3124	2216	3567	1122	832	939	1185	806	1054	1175	628	711	1535	1234	1280	2202	2574	4140	2164	2403	3308	621	660	935	945	838
TTPA	0	45	55	38	2	2	10	2	2	7	6	4	2	5	2	1	2	6	38	21	82	26	15	8	20	23	2
TUBA1B	25476	41018	40156	81891	17919	15451	11037	12740	9180	9427	15580	7921	7157	17837	16088	19682	26082	27087	26687	28072	40314	25251	10951	13108	19313	22785	28719
TWIST1	1	267	270	777	71	111	107	80	70	81	70	38	25	328	334	312	458	647	895	229	71	505	1	5	117	84	407
TXLNB	1	67	33	297	1	1	0	1	0	2	5	1	0	51	29	11	25	14	28	931	746	17	0	2	5	1	8
TYMS	294	1093	921	2481	467	269	300	198	140	152	213	113	118	319	260	351	543	581	1194	924	1397	883	306	85	430	113	511
UBE2E3	811	1491	1553	3008	882	983	815	865	692	809	845	562	614	1367	1355	1665	1420	1532	1862	3405	3151	1744	707	964	897	606	684
UBE2R2	814	1799	1583	3376	1274	1070	858	1047	750	799	1206	606	705	1606	1401	1728	2185	2154	2772	2326	2389	2471	746	1055	1269	1071	1143
UHRF1	1001	5120	3957	6369	2785	1624	1067	1550	772	980	1418	558	506	1034	854	1258	2327	2042	2719	5985	4301	2831	309	224	391	464	2194
UNC13C	6	0	0	0	12	19	14	23	46	23	78	89	55	1	0	1	3	16	29	0	5	16	0	0	0	2	0
USP3	137	1504	1470	2751	551	496	489	503	346	370	447	268	253	953	835	1076	1211	1194	1996	1603	1861	1520	214	438	679	481	776
USP3-AS1	1	103	87	70	35	18	22	30	11	13	33	12	16	71	36	54	74	69	84	64	77	81	16	19	29	25	45
USP53	673	774	766	736	3874	2350	1970	1942	1038	1451	1995	1243	1130	2120	1851	2198	1395	1670	446	1386	1157	405	4895	2410	1227	9255	914
VAV2	524	1084	858	1715	676	483	342	441	267	246	468	234	257	631	503	599	691	722	644	795	931	548	391	333	667	511	461
VEGFA	427	480	417	661	520	626	351	1079	992	884	1816	1199	1482	5238	8883	10863	5365	3404	1015	3869	2908	1106	280	526	4351	4428	5886
VEGFD	0	151	139	29	2	0	8	3	2	4	4	0	0	16	14	8	7	10	21	27	161	5	25	13	17	0	0
VIT	0	81	46	39	1	0	0	0	3	0	0	0	0	1	5	7	1	4	21	25	0	42	0	0	0	15	10
VPS13C	1417	2850	2804	3879	3134	2806	2702	3636	2250	2910	4413	3119	3176	6171	6166	8495	5154	5208	5709	3661	3894	4035	4229	4828	7378	3351	2872
VSIG10L2	0	61	26	31	1	3	2	2	0	0	1	0	0	4	4	0	6	13	29	20	11	12	0	6	5	0	0
VWCE	159	612	452	486	41	37	18	14	7	17	29	12	21	18	9	27	33	28	116	42	69	50	5	26	39	39	14
WASF2	907	1927	1599	3248	1176	946	820	1236	716	1017	1337	701	754	2251	1983	2197	2345	2357	2390	2073	2211	2129	850	967	1751	1561	1790
WDR17	144	337	390	509	89	56	35	87	56	45	65	27	42	64	39	39	59	77	174	157	197	190	178	352	375	3	38
WDR76	316	1000	941	1253	444	293	318	289	175	225	314	204	150	233	237	290	378	385	674	625	903	580	184	100	327	163	566
WIPF1	46	357	367	589	521	533	361	709	466	558	1202	733	737	2064	1585	2056	1586	2067	785	700	645	839	1394	1092	1354	687	1090
XKR4	41	0	2	2	1525	577	363	1422	739	782	4115	2451	3797	796	565	1087	644	252	402	41	23	604	1887	1833	960	112	47
XKR5	92	393	235	641	14	19	18	13	9	8	16	7	8	33	29	24	73	98	121	86	59	103	0	0	9	0	5
XPC	692	1139	990	2079	764	700	521	726	494	585	801	464	474	1120	1082	1014	966	1043	1362	1161	1588	1312	1337	1280	1802	944	1072
XYLB	63	222	208	206	77	78	61	77	57	47	66	38	29	210	196	224	187	242	217	141	151	221	35	44	359	122	109
ZAP70	0	26	42	84	2	4	6	0	0	2	3	1	5	7	0	3	18	68	36	20	9	6	0	1	1	0	1
ZBTB10	481	2613	2350	3479	1727	1496	1186	1548	985	1269	1297	890	953	1562	1177	1804	1766	2288	2953	3093	3171	2487	452	767	1236	488	863
ZBTB16	1	836	575	1225	9	7	6	0	0	5	0	0	0	1	0	0	2	9	26	18	16	17	0	0	0	0	0
ZBTB20	24	966	802	689	844	694	668	982	631	757	1626	987	1100	4831	4887	4593	3208	2600	2830	3905	2312	1731	1561	1569	3035	2624	2097
ZBTB46	442	1154	706	1798	451	467	392	499	365	357	483	285	299	509	273	667	1489	1186	1488	1631	1074	1740	163	539	92	38	45
ZC3H12C	184	1369	1183	1474	427	397	293	321	209	282	346	223	279	779	807	1591	840	759	952	893	1320	812	846	849	1049	436	437
ZC3H13	1532	2235	2925	6467	1740	1573	1480	1589	874	1225	1778	1088	1007	2892	2496	3146	3497	3503	4167	3749	4613	4030	1135	1551	3484	2261	1727
ZC3H8	133	263	316	679	141	125	83	125	78	66	107	75	82	216	194	235	226	366	421	369	555	405	105	140	353	202	127
ZFP36L1	864	3263	2323	4320	1188	798	565	864	526	632	1026	479	666	3542	2467	3350	4551	4823	4727	3545	3283	4005	366	314	830	1082	1532
ZKSCAN2	391	800	780	1583	546	453	383	491	377	348	502	273	322	445	422	538	562	728	1167	922	1112	858	278	279	660	258	199
ZNF124	630	1348	1484	3111	621	716	707	417	333	371	440	351	432	500	394	556	531	511	1344	1124	1759	829	146	211	436	154	349
ZNF280C	351	609	562	1066	293	292	275	319	193	193	208	161	152	319	264	378	366	465	809	1257	1410	682	76	103	316	117	176
ZNF346	235	650	567	1079	393	353	279	448	285	339	383	237	259	409	368	458	592	672	734	627	662	692	292	410	409	291	269
ZNF354C	394	709	692	1064	375	317	329	386	200	262	409	280	269	806	634	783	1012	1276	1321	1068	1064	1631	390	950	505	318	708
ZNF365	22	12	14	20	80	128	40	96	68	95	242	111	134	483	393	416	357	706	48	82	7	57	161	284	130	184	232
ZNF438	18	97	92	207	32	38	45	46	31	36	57	23	28	190	130	118	120	125	157	167	190	138	21	18	104	100	101
ZNF516	390	2561	2180	3696	1581	1171	924	1416	907	905	1390	659	809	1198	947	1328	1940	1824	3498	2279	3246	2739	1976	3815	2119	544	805
ZNF521	354	1675	1388	2441	619	589	736	431	317	380	336	147	234	2092	1677	1720	2458	3471	4102	1616	1096	3382	86	44	695	114	348
ZNF536	2	4	2	2	743	253	215	685	296	410	1912	1055	1236	383	294	416	195	355	970	260	1150	340	2096	2954	997	36	95
ZNF608	792	1988	1928	4485	1433	1066	904	1159	680	885	1238	733	904	1198	686	828	1894	4427	4129	3266	2781	3456	882	1656	954	113	292
ZNF618	722	2102	1334	2360	671	687	687	624	482	598	397	229	208	930	731	926	1770	1631	2399	1691	1740	2729	114	107	168	199	596
ZNF641	102	275	280	540	330	300	251	320	277	235	434	308	342	541	470	519	401	468	545	425	594	441	356	416	470	410	256
ZNF704	195	1699	1447	1726	533	527	639	574	479	602	388	239	146	973	832	802	1639	1763	2514	1922	1577	2555	17	6	844	98	131
